season_name,source_snapshot_date,club_name,player_name,is_home_grown,squad_scope,source_note
2025/26,2026-02-05,AFC Bournemouth,"Adams, Tyler Shaan",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Adli, Amine",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Bevan, Owen Lucas",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Brooks, David Robert",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Christie, Ryan",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Cook, Lewis John",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"De Lima Barbosa, Francisco Evanilson",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Dennis, William Jonathon",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Diakite, Bafode",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Forster, Fraser Gerard",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Hill, James",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Kluivert, Justin Dean",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Mandas, Christos",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Petrovic, Djorde",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Sadi, Dominic Wadi",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Scott, Alex Jay",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Senesi Baron, Marcos Nicolas",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Smith, Adam James",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Tavernier, Marcus Joseph",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Truffert, Adrien Lillan Gaetan",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,AFC Bournemouth,"Unal, Enes",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Arrizabalaga Revuelta, Kepa",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Calafiori, Riccardo",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Dos Santos Magalhães, Gabriel",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Eze, Eberechi Oluchi",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Fernando De Jesus, Gabriel",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Gyökeres, Viktor Einar",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Havertz, Kai",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Hincapie Reyna, Piero Martin",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Madueke, Chukwunonso Azuka Tristan",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Merino Zazon, Mikel",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Norgaard, Christian",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Odegaard, Martin",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Raya Martin, David",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Rice, Declan",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Saka, Bukayo",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Saliba, William",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Teodoro Martinelli Silva, Gabriel",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Timber, Jurrien",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Trossard, Leandro",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"White, Benjamin",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Arsenal,"Zubimendi Ibáñez, Martín",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Bailey, Leon Patrick",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Bakumo-Abraham, Kevin Oghenetega Tamaraebi",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Barkley, Ross",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Bizot, Marco",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Buendia Stati, Emiliano",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Cash, Matthew Stuart",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Digne, Lucas",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Elliott, Harvey Daniel James",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Francisco Torres, Pau",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Garcia Robledo, Andres",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Kamara, Boubacar Bernard",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Konsa, Ezri Ngoyo",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Maatsen, Ian Ethan",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Martinez Romero, Damian Emiliano",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"McGinn, John",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Mings, Tyrone Deon",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Mvom Onana, Amadou Ba Z",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Nilsson Lindelof, Victor Jorgen",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Rogers, Morgan Elliot",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Sancho, Jadon Malik",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Soares De Paulo, Douglas Luiz",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Tielemans, Youri Marion",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Aston Villa,"Watkins, Oliver George Arthur",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Adedokun, Valentino Mayowa",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Ajer, Kristoffer Vassbakk",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Balcombe, Ellery Ronald",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Collins, Nathan",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Cox, Matthew Aidan",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Damsgaard, Mikkel Krogh",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Dasilva, Pelenda Joshua Tunga",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Freitas Gouveia De Carvalho, Fabio Leandro",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Henderson, Jordan Brian",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Henry, Rico",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Hickey, Aaron Buchanan",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Janelt, Vitaly",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Jensen, Mathias",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Kelleher, Caoimhin Odhran",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Lewis-Potter, Keane William",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Nascimento Rodrigues, Igor Thiago",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Nelson, Reiss",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Ouattara, Dango Aboubacar Faissal",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Pinnock, Ethan Rupert",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Schade, Kevin",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Valdimarsson, Hakon Rafn",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brentford,"Van Den Berg, Sepp",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Ayari, Yasin",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Boscagli, Olivier",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"De Cuyper, Maxim Peter",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Dos Santos De Paulo, Igor Julio",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Dunk, Lewis Carl",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Gomez Amarilla, Diego Alexander",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Gross, Pascal Alexander",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Kadioglu, Ferdi Erenay",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"March, Soloman Benjamin",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"McGill, Thomas Peter Wayne",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Milner, James Phillips",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Mitoma, Kaoru",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"O'Riley, Matthew Sean",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Rushworth, Carl Andrew",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Rutter, Georginio",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Steele, Jason Sean",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Van Hecke, Jan Paul",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Veltman, Joel Ivo",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Verbruggen, Bart",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Webster, Adam Harry",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Welbeck, Daniel",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Brighton & Hove Albion,"Wieffer, Mats Henrik Berne",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Amdouni, Mohamed Zeki",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Anthony, Jaidon",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Barnes, Ashley",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Broja, Armando",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Dubravka, Martin",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Edwards, Marcus",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Ekdal, Hjalmar",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Estève, Maxime",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Flemming, Zian",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Foster, Lyle Brent",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Hartman, Quilindschy",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Hladký, Vaclav",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Humphreys, Bashir",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Larsen, Jacob Bruun",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Laurent, Joshua Ishaele Jacob-Heron",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Mejbri, Hannibal",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Morris Luis, Florentina Ibrain",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Pires Silva, Lucas",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Roberts, Connor",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Tchaouna, Loum",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Tresor Ndayishimiye, Mike",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Tuanzebe, Axel",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Walker, Kyle Andrew",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Ward-Prowse, James Michael Edward",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Burnley,"Worrall, Joseph Adrian",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Adarabioyo, abdul-Nasir Oluwatosin",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Badiashile Mukinayi, Benoit Ntambue",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Caicedo Corozo, Moises Isaac",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Chalobah, Trevoh Tom",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Cucurella Saseta, Marc",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Delap, Liam Rory",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Fernandez, Enzo Jeremias",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Fofana, Wesley Tidjan",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Gusto, Malo Arthur",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"James, Reece",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Jorgensen, Filip",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Junqueira De Jesus, Joao Pedro",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Lomba Neto, Pedro",0,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Lynch Sanchez, Robert",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
2025/26,2026-02-05,Chelsea,"Palmer, Cole",1,Senior Registered Squad,Premier League updated squad lists after January 2026 transfer window
